,Car Name,Kilometers Driven,Fuel Type,Transmission Type,Price,City,Year,Brand
65,Toyota Urban Cruiser,"35,226 km",Petrol,Manual,Rs. 9.75 Lakh,New Delhi,2021,Toyota
66,Mahindra XUV300,"50,000 km",Petrol,Manual,Rs. 9.97 Lakh,New Delhi,2019,Mahindra
67,Maruti Suzuki XL6,"36,327 km",Petrol,Manual,Rs. 10.57 Lakh,New Delhi,2020,Maruti
68,Kia Sonet,"31,396 km",Diesel,Manual,Rs. 11.9 Lakh,New Delhi,2022,Kia
69,MG Astor,"44,183 km",Petrol,Manual,Rs. 13.95 Lakh,New Delhi,2022,MG
70,Jeep Compass,"39,000 km",Petrol,Automatic,Rs. 14.91 Lakh,New Delhi,2020,Jeep
71,MG Astor,"40,275 km",Petrol,Manual,Rs. 14.95 Lakh,New Delhi,2023,MG
72,Mahindra Thar,"38,074 km",Petrol,Automatic,Rs. 15.67 Lakh,New Delhi,2022,Mahindra
73,Hyundai Elite i20,"70,000 km",Petrol,Manual,Rs. 4.67 Lakh,New Delhi,2015,Hyundai
74,Maruti Suzuki Baleno,"60,000 km",Petrol,Manual,Rs. 5.14 Lakh,New Delhi,2016,Maruti
75,Maruti Suzuki Ignis,"60,000 km",Petrol,Manual,Rs. 5.67 Lakh,New Delhi,2019,Maruti
76,Nissan Magnite,"51,433 km",Petrol,Manual,Rs. 5.97 Lakh,New Delhi,2021,Nissan
77,Maruti Suzuki Baleno,"55,000 km",Petrol,Automatic,Rs. 6.47 Lakh,New Delhi,2018,Maruti
78,Maruti Suzuki Baleno,"60,012 km",Petrol,Manual,Rs. 6.5 Lakh,New Delhi,2019,Maruti
79,Honda Amaze,"52,000 km",Petrol,Manual,Rs. 6.57 Lakh,New Delhi,2019,Honda
80,Nissan Kicks,"72,000 km",Petrol,Manual,Rs. 6.97 Lakh,New Delhi,2020,Nissan
81,Honda City,"61,000 km",Petrol,Automatic,Rs. 7.47 Lakh,New Delhi,2016,Honda
82,Maruti Suzuki Ciaz,"61,000 km",Diesel,Manual,Rs. 7.57 Lakh,New Delhi,2018,Maruti
